OBJECTID,FIPS,PASSENGER,STRACNET,CARTO,Rail_Type,Rail_Type_Description,RROwner,RR_OPERATOR,Subdivision,Division,SIGSYS,Track Rights 1,Track Rights 2,Track Rights 3,Yard Name,Max Weight (lbs),Clearance (TOFC),Clearance (COFC),Clearance (Autorack),Railroad Type,FCC_VGIN,Notes,EDITOR,State Supported Route,Rail_Active_Status,Former_Rail_Type,Shape__Length
59,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,512.255014443762
60,51820,No,Yes,No,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,346.816106283955
61,51820,No,Yes,Yes,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,305.115887938088
62,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,312.361662850944
63,51820,No,Yes,Yes,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,381.714168125276
64,51820,No,Yes,No,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,366.8944325949
65,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,181.622213031017
66,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,234.497262704463
67,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,33.3485934201491
68,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,153.584243605071
69,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,166.425124893243
70,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,121.827847532075
71,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,433.228597636554
72,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,274.462843304052
73,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,300.932988572798
74,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,163.752859036431
75,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,158.800603419373
76,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,132.028496110232
77,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,134.828790247732
78,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,1577.41460386906
79,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,71.8609535878795
80,51820,No,Yes,Yes,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,483.282259401085
81,51820,No,Yes,No,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,491.059124366293
82,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,380.834031509614
83,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,324.185581737634
84,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,216.204209847065
85,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,171.46559933288
86,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,528.212906708181
87,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,110.155448010058
88,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,274.584049880382
89,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,131.775691390633
90,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,243.775425495175
91,51820,No,No,No,Y,Yard,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B3, ,AB,,,Yard,147.516021231572
92,51820,No,Yes,Yes,M,Main Line,NS,NS,N/A,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,248.709646185808
93,51820,No,Yes,Yes,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,11647.4720452154
94,51820,No,No,No,O,Spur,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B2, ,AB,,,Spur,662.013176858287
95,51820,No,No,No,O,Spur,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B2, ,AB,,,Spur,583.740202303554
96,51820,Yes,No,No,M,Main Line,BB,BB,RICHMOND & ALLEGHANY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shortline,B1, ,AB,,,Main Line,457.377786875358
97,51820,Yes,No,No,M,Main Line,BB,BB,RICHMOND & ALLEGHANY,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shortline,B1, ,AB,,,Main Line,253.088262012019
98,51820,No,No,No,M,Main Line,NS,NS,RICHMOND & ALLEGHANY,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,281.281822391413
99,51820,No,Yes,No,M,Main Line,NS,NS,RICHMOND & ALLEGHANY,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,427.757567067749
100,51820,No,Yes,No,M,Main Line,NS,NS,RICHMOND & ALLEGHANY,N/A,CTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,334.938089496844
101,51820,No,Yes,No,M,Main Line,NS,NS,RICHMOND & ALLEGHANY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,385.027933067045
102,51820,No,Yes,No,M,Main Line,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,547.428610310047
103,51820,No,Yes,No,M,Main Line,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,509.414468832275
104,51820,No,Yes,No,M,Main Line,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,508.975635347619
105,51820,No,Yes,No,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,83.6374413184352
106,51820,No,Yes,No,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,458.179457995738
107,51820,No,Yes,No,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,373.363229882646
108,51820,No,Yes,No,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,363.241063739707
109,51820,No,Yes,No,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,291.683064387227
110,51820,No,Yes,No,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,451.579166480114
111,51820,No,Yes,No,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,409.171885380034
112,51820,No,Yes,No,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,393.317963477847
113,51820,No,Yes,No,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,363.377283319006
114,51820,No,Yes,No,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,364.701322423288
115,51820,No,Yes,No,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,370.714275931614
